Serial No.,Question,Answer,Difficulty,
1,ICT এর পূর্ণরূপ কী?,তথ্য ও যোগাযোগ প্রযুক্তি,Easy,1
2,CPU এর কাজ কী?,এটি গণনা করে এবং নির্দেশনা সম্পাদন করে।,Easy,
3,URL' এর পূর্ণরূপ কী?,ইউনিফর্ম রিসোর্স লোকেটর,Easy,
4,অপারেটিং সিস্টেমের কাজ কী?,এটি কম্পিউটার হার্ডওয়্যার এবং সফটওয়্যার রিসোর্স পরিচালনা করে।,Easy,
5,RAM এর প্রধান কাজ কী?,এটি সেই ডেটা সংরক্ষণ করে যা CPU দ্বারা সক্রিয়ভাবে ব্যবহৃত হয়।,Easy,
6,কম্পিউটার নেটওয়ার্ক কী?,কম্পিউটার এবং ডিভাইসগুলির একটি সংগ্রহ যা রিসোর্স শেয়ার করতে সংযুক্ত থাকে।,Easy,
7,HTTP' এর পূর্ণরূপ কী?,হাইপারটেক্সট ট্রান্সফার প্রোটোকল,Easy,
8,ব্রাউজার কী?,এটি একটি সফটওয়্যার অ্যাপ্লিকেশন যা ওয়েবসাইট দেখতে ব্যবহার করা হয়।,Easy,
9,রাউটার এর কাজ কী?,এটি একটি নেটওয়ার্কে ডেটা প্যাকেটগুলি পরিচালনা করে।,Easy,
10,Wi-Fi' এর পূর্ণরূপ কী?,ওয়্যারলেস ফিডেলিটি,Easy,
11,ডাটাবেস কী?,এটি একটি কাঠামোগত ডেটা সেট যা বৈদ্যুতিনভাবে সংরক্ষণ এবং অ্যাক্সেস করা হয়।,Easy,
12,ক্লাউড কম্পিউটিং' এর মানে কী?,ইন্টারনেটের মাধ্যমে ডেটা এবং প্রোগ্রামগুলি সংরক্ষণ এবং অ্যাক্সেস করা।,Easy,
13,PDF' এর পূর্ণরূপ কী?,পোর্টেবল ডকুমেন্ট ফরম্যাট,Easy,
14,ফায়ারওয়াল এর কাজ কী?,এটি একটি নেটওয়ার্ককে অননুমোদিত অ্যাক্সেস থেকে রক্ষা করে।,Easy,
15,ওয়েবসাইট কী?,এটি একটি ওয়েব পেজের সংগ্রহ যা ইন্টারনেটের মাধ্যমে অ্যাক্সেস করা যায়।,Easy,
16,RAM এবং ROM এর মধ্যে পার্থক্য কী?,"RAM হলো অস্থায়ী সংরক্ষণ, আর ROM হলো স্থায়ী সংরক্ষণ।",Easy,
17,IP অ্যাড্রেস কী?,এটি একটি ডিভাইসের অনন্য পরিচয়সংকেত যা নেটওয়ার্কে থাকে।,Easy,
18,কীবোর্ড এর কাজ কী?,এটি কম্পিউটারে ডেটা ইনপুট করে।,Easy,
19,মাউস এর কাজ কী?,এটি স্ক্রীনে পয়েন্ট এবং ক্লিক করে কম্পিউটারের সাথে যোগাযোগ করতে ব্যবহৃত হয়।,Easy,
20,URL এর মানে কী?,ইউনিফর্ম রিসোর্স লোকেটর,Easy,
21,ফাইল কী?,এটি একটি কম্পিউটারে সংরক্ষিত তথ্যের সংগ্রহ।,Easy,
22,ফোল্ডার কী?,এটি একটি ডিরেক্টরি যা কম্পিউটারে ফাইলগুলি সংগঠিত করতে ব্যবহৃত হয়।,Easy,
23,ইমেইল কী?,এটি ইন্টারনেটের মাধ্যমে বার্তা পাঠানোর একটি পদ্ধতি।,Easy,
24,ইমেইল-এ 'স্প্যাম' মানে কী?,অবাঞ্ছিত এবং প্রায়ই সম্পর্কহীন বার্তা যা ব্যাচে পাঠানো হয়।,Easy,
25,সফটওয়্যার কী?,এটি কম্পিউটারের জন্য ব্যবহৃত নির্দেশনা বা প্রোগ্রামের একটি সেট।,Easy,
26,HTML' এর পূর্ণরূপ কী?,হাইপারটেক্সট মার্কআপ ল্যাঙ্গুয়েজ,Easy,
27,সার্চ ইঞ্জিন কী?,এটি একটি সফটওয়্যার সিস্টেম যা ইন্টারনেটে তথ্য খুঁজে বের করতে ব্যবহৃত হয়।,Easy,
28,ভাইরাস কী?,এটি একটি ক্ষতিকর সফটওয়্যার প্রোগ্রাম যা কম্পিউটারের ক্ষতি করতে ডিজাইন করা হয়।,Easy,
29,কম্পিউটার ভাইরাস কী?,এটি একটি সফটওয়্যার প্রোগ্রাম যা নিজের কপি তৈরি করে অন্য প্রোগ্রামগুলিতে ছড়িয়ে পড়ে।,Easy,
30,ম্যালওয়্যার কী?,এটি একটি ক্ষতিকর সফটওয়্যার যা কোনো ডিভাইসের ক্ষতি বা অপব্যবহার করতে পারে।,Easy,
31,হার্ড ড্রাইভ কী?,এটি একটি স্টোরেজ ডিভাইস যা কম্পিউটারে ডেটা সংরক্ষণ করে।,Easy,
32,VPN' এর পূর্ণরূপ কী?,ভার্চুয়াল প্রাইভেট নেটওয়ার্ক,Easy,
33,অপারেটিং সিস্টেম কী?,এটি সফটওয়্যার যা কম্পিউটার হার্ডওয়্যার এবং সফটওয়্যার রিসোর্স পরিচালনা করে।,Easy,
34,PDF ফাইল কী?,এটি একটি পোর্টেবল ডকুমেন্ট ফরম্যাট ফাইল যা ডকুমেন্ট দেখার জন্য ব্যবহৃত হয়।,Easy,
35,সার্ভারের কাজ কী?,এটি একটি কম্পিউটার সিস্টেম যা অন্যান্য কম্পিউটারগুলিকে সেবা বা রিসোর্স প্রদান করে।,Easy,
36,কম্পিউটার কী?,এটি একটি ইলেকট্রনিক ডিভাইস যা ডেটা প্রক্রিয়া করতে পারে।,Easy,
37,একটি হার্ড ড্রাইভের কাজ কী?,এটি একটি ডিভাইস যা কম্পিউটারে ডেটা সংরক্ষণ করতে ব্যবহৃত হয়।,Easy,
38,একটি কম্পিউটার ভাইরাস কী?,এটি একটি ক্ষতিকর সফটওয়্যার যা কম্পিউটার সিস্টেমকে ক্ষতি করতে পারে।,Easy,
39,ওয়েব ব্রাউজার কী?,এটি একটি সফটওয়্যার যা ব্যবহারকারীদের ইন্টারনেটে সাইট ব্রাউজ করতে দেয়।,Easy,
40,URL কী?,এটি একটি ইউনিফর্ম রিসোর্স লোকেটর যা ওয়েবপেজ বা ফাইলের ঠিকানা।,Easy,
41,ফায়ারওয়াল কী?,এটি একটি সিস্টেম যা কম্পিউটার বা নেটওয়ার্ককে সুরক্ষিত রাখে।,Easy,
42,একটি ফোল্ডার কী?,এটি একটি ডিরেক্টরি যা কম্পিউটারে ফাইলগুলো সংগঠিত করতে ব্যবহৃত হয়।,Easy,
43,RAM কী?,এটি কম্পিউটারের অস্থায়ী মেমরি যা প্রোগ্রামগুলি চালানোর জন্য ব্যবহৃত হয়।,Easy,
44,পোর্টেবল ডকুমেন্ট ফরম্যাট (PDF) কী?,এটি একটি ফাইল ফরম্যাট যা প্রিন্টযোগ্য ডকুমেন্টের জন্য ব্যবহৃত হয়।,Easy,
45,এটি কী?,এটি একটি প্রোগ্রাম যা কম্পিউটারে বিভিন্ন কাজ সম্পাদন করতে সাহায্য করে।,Easy,
46,মালওয়্যার কী?,এটি একটি ক্ষতিকর সফটওয়্যার যা সিস্টেমের ক্ষতি করতে পারে।,Easy,
47,ইমেইল কী?,এটি একটি ডিটাল বার্তা যা ইন্টারনেটের মাধ্যমে পাঠানো হয়।,Easy,
48,নেটওয়ার্ক কী?,এটি একাধিক কম্পিউটার বা ডিভাইসের মধ্যে যোগাযোগ ব্যবস্থা।,Easy,
49,সামাজিক মিডিয়া কী?,এটি ইন্টারনেটে ব্যবহৃত একটি প্ল্যাটফর্ম যেখানে ব্যবহারকারীরা যোগাযোগ করে।,Easy,
50,টেক্সট ফাইল কী?,এটি একটি ফাইল যা কেবল টেক্সট তথ্য সংরক্ষণ করে।,Easy,
51,CSS কী?,এটি একটি স্টাইল শীট ভাষা যা HTML ডকুমেন্টগুলির শৈলী নির্ধারণ করে।,Easy,
52,আইপি অ্যাড্রেস কী?,এটি একটি ডিভাইসের নেটওয়ার্ক ঠিকানা যা অন্য ডিভাইসের সাথে যোগাযোগ করতে ব্যবহৃত হয়।,Easy,
53,ডেটাবেস কী?,এটি একটি সংগঠিত ডেটার সংগ্রহ যা ইলেকট্রনিকভাবে সংরক্ষণ করা হয়।,Easy,
54,জাভাস্ক্রিপ্ট কী?,এটি একটি প্রোগ্রামিং ভাষা যা ওয়েবপেজে ইন্টারঅ্যাকটিভ ফিচার তৈরি করতে ব্যবহৃত হয়।,Easy,
55,এফটিপি কী?,এটি ফাইল স্থানান্তরের একটি প্রোটোকল যা ইন্টারনেটের মাধ্যমে ডেটা ট্রান্সফার করতে সাহায্য করে।,Easy,
56,ডিজিটাল সাইনেজ কী?,এটি একটি ডিজিটাল প্রযুক্তি যা বিজ্ঞাপন বা তথ্য প্রচারের জন্য ব্যবহৃত হয়।,Easy,
57,ভিডিও কনফারেন্সিং কী?,এটি একটি যোগাযোগ ব্যবস্থা যা ভিডিও এবং অডিওর মাধ্যমে একযোগে কাজ করে।,Easy,
58,ডোমেন নেম কী?,এটি একটি ইউনিক নাম যা ইন্টারনেটে একটি সাইটের জন্য ব্যবহৃত হয়।,Easy,
59,ব্রাউজার কী?,এটি একটি সফটওয়্যার যা ইন্টারনেট ব্রাউজ করতে ব্যবহৃত হয়।,Easy,
60,ব্যাকআপ কী?,এটি একটি প্রক্রিয়া যা ডেটার একটি কপি তৈরি করে যা ডেটা হারানোর পরিস্থিতিতে ব্যবহৃত হয়।,Easy,
61,হটস্পট কী?,এটি একটি স্থান যা ইন্টারনেট অ্যাক্সেস প্রদান করে।,Easy,
62,ভিডিও গেম কী?,এটি একটি কম্পিউটার প্রোগ্রাম যা একটি গেমের মত কার্যক্রম সম্পাদন করে।,Easy,
63,ভাইরাস স্ক্যানার কী?,এটি একটি সফটওয়্যার যা কম্পিউটার থেকে ভাইরাস সনাক্ত করে।,Easy,
64,মোবাইল ফোন কী?,এটি একটি পোর্টেবল ডিভাইস যা কল এবং বার্তা পাঠাতে ব্যবহৃত হয়।,Easy,
65,ডেটা সুরক্ষা কী?,এটি একটি প্রক্রিয়া যা ডেটা রক্ষা এবং নিরাপদ রাখে।,Easy,
66,ভিপিএন কী?,এটি একটি ভার্চুয়াল প্রাইভেট নেটওয়ার্ক যা ইন্টারনেটের মাধ্যমে সুরক্ষিত সংযোগ প্রদান করে।,Easy,
67,ল্যাপটপ কী?,এটি একটি পোর্টেবল কম্পিউটার যা ব্যবহারকারীদের চলতে চলতে কাজ করতে দেয়।,Easy,
68,ডাউনলোড কী?,এটি ইন্টারনেট থেকে কোনো ফাইল গ্রহণ করার প্রক্রিয়া।,Easy,
69,ফাইল কী?,এটি একটি সংরক্ষিত ডেটা যেটি এক বা একাধিক তথ্য ধারণ করে।,Easy,
70,লগইন কী?,এটি একটি প্রক্রিয়া যা ব্যবহারকারীকে একটি সিস্টেমে প্রবেশ করার অনুমতি দেয়।,Easy,
71,ইন্টারনেট কী?,এটি একটি বৈশ্বিক নেটওয়ার্ক যা একে অপরের সাথে সংযুক্ত কম্পিউটার এবং ডিভাইসগুলির মাধ্যমে কাজ করে।,Easy,
72,এপিআই কী?,এটি একটি অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস যা সফটওয়্যার এপ্লিকেশনগুলির মধ্যে যোগাযোগের জন্য ব্যবহৃত হয়।,Easy,
73,ডাটা বেস কী?,এটি তথ্য সংরক্ষণের জন্য ব্যবহৃত একটি সিস্টেম।,Easy,
74,রাউটার কী?,এটি একটি ডিভাইস যা নেটওয়ার্কে ডেটা পাঠায়।,Easy,
75,প্রিন্টার কী?,এটি একটি ডিভাইস যা কম্পিউটার থেকে প্রিন্ট আউট তৈরি করে।,Easy,
76,ডিজিটাল ক্যামেরা কী?,এটি একটি ক্যামেরা যা ইমেজ ক্যাপচার করতে ডিজিটাল প্রযুক্তি ব্যবহার করে।,Easy,
77,বিজ্ঞাপন কী?,এটি একটি মাধ্যম যা পণ্য বা সেবা প্রচার করার জন্য ব্যবহৃত হয়।,Easy,
78,ভাইরাস স্ক্যান কী?,এটি একটি প্রক্রিয়া যা ভাইরাস সনাক্ত এবং নির্মূল করতে ব্যবহৃত হয়।,Easy,
79,ক্লাউড ডাটাবেস কী?,এটি একটি ডাটাবেস যা ক্লাউডে হোস্ট করা এবং অ্যাক্সেস করা হয়।,Medium,
80,IPv4 এবং IPv6 এর মধ্যে পার্থক্য কী?,"IPv4 32-বিট ঠিকানা ব্যবহার করে, যেখানে IPv6 128-বিট ঠিকানা ব্যবহার করে।",Medium,
81,AI কী?,"কৃত্রিম বুদ্ধিমত্তা, এটি মেশিনে মানবীয় বুদ্ধিমত্তার অনুকরণ।",Medium,
82,HTTP এবং HTTPS এর মধ্যে পার্থক্য কী?,"HTTPS হলো HTTP এর নিরাপদ সংস্করণ, যা এনক্রিপশন ব্যবহার করে।",Medium,
83,ডেটা ব্রিচ কী?,সেন্সিটিভ ডেটার অনুমোদিত অ্যাক্সেস বা প্রকাশ।,Medium,
84,SEO কী?,"সার্চ ইঞ্জিন অপটিমাইজেশন, একটি পদ্ধতি যা ওয়েবসাইটের দৃশ্যমানতা বাড়ায়।",Medium,
85,ব্লকচেইন কী?,এটি একটি বিকেন্দ্রীভূত এবং বিতরণকৃত ডিজিটাল লেজার যা নিরাপদ লেনদেনের জন্য ব্যবহৃত হয়।,Medium,
86,এনক্রিপশন কী?,এটি ডেটাকে একটি নিরাপদ ফরম্যাটে রূপান্তরিত করার প্রক্রিয়া যাতে অননুমোদিত অ্যাক্সেস আটকানো যায়।,Medium,
87,VPN কী?,ভার্চুয়াল প্রাইভেট নেটওয়ার্ক যা একটি পাবলিক নেটওয়ার্কের মাধ্যমে একটি ব্যক্তিগত নেটওয়ার্ক প্রসারিত করে।,Medium,
88,IoT কী?,"ইন্টারনেট অফ থিংস, শারীরিক ডিভাইসগুলি যা ইন্টারনেটে সংযুক্ত থাকে।",Medium,
89,মেশিন লার্নিং কী?,"এটি AI এর একটি উপশাখা যা সিস্টেমগুলোকে ডেটা থেকে শেখার অনুমতি দেয়, যেন সেগুলি স্পষ্টভাবে প্রোগ্রাম করা না হয়।",Medium,
90,বিগ ডেটা কী?,অত্যন্ত বড় ডেটাসেট যা প্রক্রিয়া এবং বিশ্লেষণের জন্য উন্নত সরঞ্জামের প্রয়োজন।,Medium,
91,ডেটা ওয়্যারহাউস কী?,এটি একটি কেন্দ্রীভূত রেপোজিটরি যা বড় ভলিউমের কাঠামোবদ্ধ ডেটা সংরক্ষণ করে।,Medium,
92,সিস্টেম সফটওয়্যার কী?,এটি এমন সফটওয়্যার যা অন্য সফটওয়্যারের জন্য প্ল্যাটফর্ম সেবা প্রদান করে।,Medium,
93,কম্পিউটার বাস কী?,এটি একটি সিস্টেমের পাথওয়ে যা বিভিন্ন কম্পিউটার উপাদানের মধ্যে যোগাযোগের জন্য ব্যবহৃত হয়।,Medium,
94,টেকনিক্যাল সাপোর্ট কী?,এটি এমন একটি সেবা যা গ্রাহকদের প্রযুক্তিগত সমস্যা সমাধানে সহায়তা করে।,Medium,
95,উন্নত মেশিন লার্নিং কীভাবে কাজ করে?,এটি ডেটা থেকে শিখে এবং পূর্বাভাস তৈরি করতে সক্ষম।,Medium,
96,ডেটা বিশ্লেষণ কী?,এটি বিভিন্ন ধরনের ডেটা সংগ্রহ এবং বিশ্লেষণ করার একটি প্রক্রিয়া।,Medium,
97,লিনাক্স কি?,এটি একটি ওপেন সোর্স অপারেটিং সিস্টেম যা প্রোগ্রামিং এবং সার্ভার ব্যবস্থাপনা জন্য ব্যবহৃত হয়।,Medium,
98,প্রযুক্তির বৈশ্বিক প্রভাব কী?,"এটি সমাজ, অর্থনীতি এবং মানুষের জীবনে প্রযুক্তির প্রভাব বিশ্লেষণ করে।",Medium,
99,AI ব্যবহার করার সুবিধা কী?,এটি ডেটা প্রক্রিয়াকরণে সঠিকতা বাড়ায় এবং সিদ্ধান্ত গ্রহণে সহায়তা করে।,Medium,
100,ডেটা মাইনিং কী?,এটি ডেটা সেট থেকে তথ্য বের করার একটি প্রক্রিয়া।,Medium,
101,তথ্য সুরক্ষা আইন কী?,এটি আইন যা গ্রাহকদের তথ্য সুরক্ষা নিশ্চিত করে।,Medium,
102,নেটওয়ার্ক সিকিউরিটি কী?,এটি একটি প্রক্রিয়া যা নেটওয়ার্ককে নিরাপদ রাখতে ব্যবহৃত হয়।,Medium,
103,সাইবার আক্রমণ কী?,এটি কম্পিউটার সিস্টেম বা নেটওয়ার্কের বিরুদ্ধে একটি আক্রমণ যা ডেটা চুরি বা ক্ষতি করতে পারে।,Medium,
104,সামাজিক মিডিয়া বিপণন কী?,এটি একটি ডিজিটাল মার্কেটিং পদ্ধতি যা সোশ্যাল মিডিয়া প্ল্যাটফর্ম ব্যবহার করে।,Medium,
105,এন্টারপ্রাইজ সিস্টেম কী?,এটি একটি সফটওয়্যার সিস্টেম যা বড় প্রতিষ্ঠানগুলির জন্য ডেটা এবং অপারেশন সমন্বয় করতে ব্যবহৃত হয়।,Medium,
106,জাভা প্রোগ্রামিং ভাষা কী?,এটি একটি অবজেক্ট ওরিয়েন্টেড প্রোগ্রামিং ভাষা যা সফটওয়্যার ডেভেলপমেন্টের জন্য ব্যবহৃত হয়।,Medium,
107,পিসি গেমিং কী?,এটি কম্পিউটার বা ল্যাপটপে গেম খেলার প্রক্রিয়া।,Medium,
