Serial No.,Question,Answer,Difficulty
1,বাংলাদেশের জাতীয় ফল কী?,বাংলাদেশের জাতীয় ফল কাঁঠাল।,Easy
2,বাংলাদেশের জাতীয় ফুল কী?,বাংলাদেশের জাতীয় ফুল শাপলা।,Easy
3,বাংলাদেশের জাতীয় পাখি কী?,বাংলাদেশের জাতীয় পাখি দোয়েল।,Easy
4,বাংলাদেশের জাতীয় মাছ কী?,বাংলাদেশের জাতীয় মাছ ইলিশ।,Easy
5,বাংলাদেশের জাতীয় সংগীতের রচয়িতা কে?,বাংলাদেশের জাতীয় সংগীতের রচয়িতা রবীন্দ্রনাথ ঠাকুর।,Easy
6,বাংলাদেশের স্বাধীনতা দিবস কবে?,বাংলাদেশের স্বাধীনতা দিবস ২৬শে মার্চ।,Easy
7,বাংলাদেশের বিজয় দিবস কবে?,বাংলাদেশের বিজয় দিবস ১৬ই ডিসেম্বর।,Easy
8,বাংলাদেশের জাতীয় বনের নাম কী?,বাংলাদেশের জাতীয় বনের নাম সুন্দরবন।,Easy
9,বাংলাদেশের দীর্ঘতম নদীর নাম কী?,বাংলাদেশের দীর্ঘতম নদীর নাম মেঘনা।,Easy
10,বাংলাদেশের বৃহত্তম জেলা কোনটি?,বাংলাদেশের বৃহত্তম জেলা রাঙ্গামাটি (আয়তনে)।,Easy
11,বাংলাদেশের উচ্চতম পর্বতশৃঙ্গের নাম কী?,বাংলাদেশের উচ্চতম পর্বতশৃঙ্গের নাম তাজিংডং (কেউক্রাডংও বলা হয়)।,Easy
12,একাত্তরের মুক্তিযুদ্ধ কত সালে হয়েছিল?,একাত্তরের মুক্তিযুদ্ধ ১৯৭১ সালে হয়েছিল।,Easy
13,বাংলাদেশের প্রথম রাষ্ট্রপতি কে ছিলেন?,বাংলাদেশের প্রথম রাষ্ট্রপতি ছিলেন বঙ্গবন্ধু শেখ মুজিবুর রহমান।,Easy
14,বাংলাদেশের জাতীয় সংসদের নাম কী?,বাংলাদেশের জাতীয় সংসদের নাম জাতীয় সংসদ।,Easy
15,শহীদ মিনার কোথায় অবস্থিত?,শহীদ মিনার ঢাকায় অবস্থিত।,Easy
16,বাংলাদেশের প্রধান দুটি ফসল কী কী?,বাংলাদেশের প্রধান দুটি ফসল ধান ও পাট।,Easy
17,বাংলাদেশের মোট বিভাগ কয়টি?,বাংলাদেশের মোট বিভাগ ৮টি।,Easy
18,বাংলাদেশের বৃহত্তম সমুদ্র সৈকত কোনটি?,বাংলাদেশের বৃহত্তম সমুদ্র সৈকত কক্সবাজার।,Easy
19,সূর্য কোন দিকে ওঠে?,সূর্য পূর্ব দিকে ওঠে।,Easy
20,আমাদের সৌরজগতে কয়টি গ্রহ আছে?,আমাদের সৌরজগতে ৮টি গ্রহ আছে।,Easy
21,পৃথিবীর বৃহত্তম মহাদেশ কোনটি?,পৃথিবীর বৃহত্তম মহাদেশ এশিয়া।,Easy
22,পৃথিবীর বৃহত্তম মহাসাগর কোনটি?,পৃথিবীর বৃহত্তম মহাসাগর প্রশান্ত মহাসাগর।,Easy
23,তাজমহল কোন দেশে অবস্থিত?,তাজমহল ভারতে অবস্থিত।,Easy
24,আইফেল টাওয়ার কোন শহরে অবস্থিত?,আইফেল টাওয়ার প্যারিসে অবস্থিত।,Easy
25,কম্পিউটারের জনক কে?,কম্পিউটারের জনক চার্লস ব্যাবেজ।,Easy
26,ইন্টারনেট কে আবিষ্কার করেন?,ইন্টারনেট টিম বার্নার্স-লি আবিষ্কার করেন।,Easy
27,বাংলাদেশের প্রথম প্রধানমন্ত্রী কে ছিলেন?,বাংলাদেশের প্রথম প্রধানমন্ত্রী ছিলেন তাজউদ্দীন আহমদ।,Easy
28,সুন্দরবনের প্রধান আকর্ষণ কী?,সুন্দরবনের প্রধান আকর্ষণ রয়েল বেঙ্গল টাইগার।,Easy
29,পৃথিবীর সবচেয়ে লম্বা প্রাণী কোনটি?,পৃথিবীর সবচেয়ে লম্বা প্রাণী জিরাফ।,Easy
30,চাঁদে প্রথম পা রাখেন কে?,চাঁদে প্রথম পা রাখেন নীল আর্মস্ট্রং।,Easy
31,কোন গ্রহকে লাল গ্রহ বলা হয়?,মঙ্গল গ্রহকে লাল গ্রহ বলা হয়।,Easy
32,বাংলাদেশের জাতীয় পোশাক কী?,বাংলাদেশের জাতীয় পোশাক পুরুষদের জন্য লুঙ্গি-পাঞ্জাবি এবং মহিলাদের জন্য শাড়ি।,Easy
33,বাংলাদেশের রাষ্ট্র ভাষা কী?,বাংলাদেশের রাষ্ট্র ভাষা বাংলা।,Easy
34,"কোন দেশ ""উদীয়মান সূর্যের দেশ"" নামে পরিচিত?","জাপান ""উদীয়মান সূর্যের দেশ"" নামে পরিচিত।",Easy
35,পৃথিবীর সবচেয়ে ছোট মহাদেশ কোনটি?,পৃথিবীর সবচেয়ে ছোট মহাদেশ অস্ট্রেলিয়া।,Easy
36,"কোন গাছকে ""সবুজ সোনা"" বলা হয়?","বাঁশ গাছকে ""সবুজ সোনা"" বলা হয়।",Easy
37,বাংলাদেশের বৃহত্তম শিল্প কোনটি?,বাংলাদেশের বৃহত্তম শিল্প তৈরি পোশাক শিল্প।,Easy
38,বাংলাদেশের একমাত্র প্রবাল দ্বীপের নাম কী?,বাংলাদেশের একমাত্র প্রবাল দ্বীপের নাম সেন্ট মার্টিন।,Easy
39,মহানবী হযরত মুহাম্মদ (সাঃ) এর জন্মস্থান কোথায়?,মহানবী হযরত মুহাম্মদ (সাঃ) এর জন্মস্থান মক্কা।,Easy
40,পৃথিবীর সবচেয়ে উঁচু পর্বতের নাম কী?,পৃথিবীর সবচেয়ে উঁচু পর্বতের নাম মাউন্ট এভারেস্ট।,Easy
41,বাংলাদেশের প্রাচীনতম জনপদের নাম কী?,বাংলাদেশের প্রাচীনতম জনপদের নাম পুণ্ড্র।,Easy
42,বাংলাদেশের রাষ্ট্রীয় প্রতীকে কী কী আছে?,"বাংলাদেশের রাষ্ট্রীয় প্রতীকে শাপলা ফুল, ধানের শীষ, পাট পাতা ও চারটি তারকা আছে।",Easy
43,জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানের জন্ম কবে?,"জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানের জন্ম ১৭ই মার্চ, ১৯২০।",Easy
44,বাংলাদেশের জাতীয় স্লোগান কী?,বাংলাদেশের জাতীয় স্লোগান জয় বাংলা।,Easy
45,কোন তারিখে আন্তর্জাতিক মাতৃভাষা দিবস পালিত হয়?,২১শে ফেব্রুয়ারি আন্তর্জাতিক মাতৃভাষা দিবস পালিত হয়।,Easy
