Serial No.,Question,Answer,Difficulty
1,বাংলা সাহিত্যের প্রবর্তক কে?,ঋষি বঙ্কিমচন্দ্র চট্টোপাধ্যায়,Easy
2,গীতাঞ্জলি' কাব্যগ্রন্থটি কার লেখা?,রবীন্দ্রনাথ ঠাকুর,Easy
3,নকশী কাঁথার মাঠ' নাটকটি কে রচনা করেছেন?,শওকত ওসমান,Easy
4,আত্মজীবনী' গ্রন্থের লেখক কে?,চট্টগ্রামের আবুল মনসুর আহমদ,Easy
5,মধুসূদন' নামক কবিতার লেখক কে?,মাইকেল মধুসূদন দত্ত,Easy
6,প্রথম আলো' পত্রিকার প্রতিষ্ঠাতা কে?,মাহফুজ আনাম,Easy
7,সোনালী কাবিন' কবিতার লেখক কে?,শামসুর রাহমান,Easy
8,ছিন্নপত্র' কাব্যগ্রন্থটি কার লেখা?,সুকান্ত ভট্টাচার্য,Easy
9,বাঙালি জাতির ইতিহাস' কে রচনা করেছেন?,ড. মুহাম্মদ শহীদুল্লাহ,Easy
10,বাংলাদেশের জাতীয় সংগীত' কে রচনা করেছেন?,কাজী নজরুল ইসলাম,Easy
11,মেঘদূত' কাব্যগ্রন্থটি কার লেখা?,কবিগুরু রবীন্দ্রনাথ ঠাকুর,Easy
12,লালসালু' উপন্যাসটির লেখক কে?,সৈয়দ মেহেদী,Easy
13,জীবনানন্দ দাশ' কোন কবি?,বাংলাদেশের আধুনিক কবি,Easy
14,বাংলাদেশের সাহিত্য' কবে শুরু হয়েছিল?,১৯৪৭ সালে,Easy
15,চতুরঙ্গ' নাটকটি কার লেখা?,রবীন্দ্রনাথ ঠাকুর,Easy
16,শাহনামা' গ্রন্থের লেখক কে?,ফিরদৌসী,Easy
17,রবীন্দ্র সঙ্গীত' কোন ধরনের গান?,রবীন্দ্রনাথ ঠাকুরের লিখিত সঙ্গীত,Easy
18,চর্যাপদ' কি?,প্রাচীন বাংলা সাহিত্যের একটি গুরুত্বপূর্ণ অংশ,Easy
19,খোকা' কে?,বঙ্গবন্ধু শেখ মুজিবুর রহমান,Easy
20,শ্রীমদ্ভগবত গীতা' কি?,হিন্দু ধর্মগ্রন্থ,Easy
21,উৎসাহ' কী?,"কবিতা, উৎসাহ ও সমৃদ্ধির প্রতিনিধিত্ব",Easy
22,বাংলা সাহিত্যের প্রথম অধ্যাপক কে?,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,Easy
23,মধ্যবর্তী যুগ' এর কবিরা কারা?,"কবিগুরু রবীন্দ্রনাথ ঠাকুর, কাজী নজরুল ইসলাম",Easy
24,সোমানী' কাব্যগ্রন্থটি কার লেখা?,কাজী নজরুল ইসলাম,Easy
25,একটি দেশী প্রেমিকা' কাব্যগ্রন্থটি কার লেখা?,এষিকা রহমান,Easy
26,বাংলা সাহিত্যের শ্রেষ্ঠ পুরুষ কে?,রবীন্দ্রনাথ ঠাকুর,Easy
27,শাহবাগ' কোন স্থানে অবস্থিত?,"ঢাকা, বাংলাদেশ",Easy
28,বাংলাদেশের স্বাধীনতা' কোন গ্রন্থে তুলে ধরা হয়েছে?,অ্যাব্দুল মজিদ,Easy
29,হাংরি গেম' কোন ধরনের সাহিত্য?,চলচ্চিত্র,Easy
30,রবীন্দ্রনাথ ঠাকুরের জন্ম কোন দিন?,"৭ মে, ১৮৬১",Medium
31,কাব্য' কী?,"কাব্য হল এক ধরনের সাহিত্য যা কবিতা, গানের মত পাঠ্য রচনা থাকে।",Medium
32,প্রথম বাংলা সংবাদপত্র' কোনটি?,সমাচার দর্পণ,Medium
33,হযরত শাহজালাল' কে?,বাংলাদেশের প্রখ্যাত সুফী সাধক,Medium
34,ঋণ' কি?,ঋণ হল এক প্রকার সাহিত্যিক সমালোচনার মনোবল।,Medium
35,মাইকেল মধুসূদন দত্ত' সম্পর্কে লিখুন।,তিনি একজন জনপ্রিয় বাংলা কবি ও নাট্যকার,Medium
36,বাঙালি সাহিত্যের প্রাচীন যুগ' কখন শুরু হয়েছিল?,পঞ্চদশ শতাব্দীতে,Medium
37,হুমায়ূন আহমেদ' এর বিখ্যাত উপন্যাস কি?,নন্দিত নরক,Medium
38,বাংলা গানের ইতিহাস' কত বছরের?,প্রায় ৭০ বছর পুরনো,Medium
39,একরাত্রির কাব্য' কে রচনা করেছেন?,বিরেন্দ্রনাথ রায়,Medium
40,নৌকা' লেখকের পরিচিতি কী?,শরৎচন্দ্র চট্টোপাধ্যায়,Medium
41,গান্ধীজীর জীবনদর্শন' কি?,গান্ধীজীর মতবাদ,Medium
42,পূর্ববাংলার সাহিত্য' কী?,বাংলাদেশের লেখকদের সাহিত্য,Medium
43,প্রাচীন সাহিত্য' কি?,পূর্ব ভারতীয় কাব্য রচনা,Medium
44,বাঙালি সাহিত্য' কী?,বাংলাদেশের সমাজে সামাজিক সাহিত্য,Medium
45,মুমিন' কাব্যগ্রন্থে কী বলা হয়েছে?,বাংলা সাহিত্যের প্রতি নতুন দৃষ্টি,Medium
46,মুকুট' কাব্যগ্রন্থের লেখক কে?,কাজী নজরুল ইসলাম,Medium
47,বাংলা সাহিত্যের জ্যেষ্ঠ কাব্য-লেখক কে?,রবীন্দ্রনাথ ঠাকুর,Medium
48,লবণ' কবিতার মূল বার্তা কী?,এটি মানবিক মূল্যবোধের সাথে সম্পর্কিত,Medium
49,কথাসাহিত্য' কী?,সাহিত্য একটি বিশেষ ফর্ম যা গল্প বা নাটক ও পর্যালোচনা করে,Medium
50,বাংলা সাহিত্যে 'ইতিহাস' বিষয়টির গুরুত্ব কেন?,"কারণ, এটি একটি জাতির ভাষা, সংস্কৃতি ও ধারা",Medium
51,লালসালু' কাব্যগ্রন্থটির মর্ম কী?,মুখরিত বেদনা ও গার্হস্থ্য জীবনের বহি:প্রকাশ,Medium
52,অমৃত' শব্দটির প্রয়োগ কোথায়?,মানবতার প্রতি গভীর সম্মান,Medium
53,বাঙালি নাটক' কী?,বাংলা নাটকের প্রতিচ্ছবি,Medium
54,লেখক' কে?,যিনি সাহিত্য লিখেন,Medium
55,আন্তর্জাতিক সাহিত্যের প্রভাব' বাংলা সাহিত্যকে কীভাবে প্রভাবিত করেছে?,সাহিত্যিক দৃষ্টিকোণ এবং ভাষার আগমন।,Hard
56,বিশ্বসাহিত্য' কিভাবে বাংলা সাহিত্যে প্রভাব বিস্তার করেছে?,বিশ্ব সাহিত্য থেকে নতুন ধারার আগমন।,Hard
57,কাব্যবিদ্যা' তত্ত্বের মূল অবদান কী?,কাব্যকে বিশেষরূপে চিন্তা ও অনুভূতির প্রতিবিম্বরূপে উপস্থাপন।,Hard
58,বাঙালি কবি' কে?,"কবি রবীন্দ্রনাথ ঠাকুর, কাজী নজরুল ইসলাম।",Hard
59,বাঙালি সাহিত্যের সর্বোচ্চ পুরস্কার কী?,বাংলা সাহিত্য অকাদেমি পুরস্কার,Hard
60,বাংলা সাহিত্য’ কীভাবে বাংলার সমাজের সংস্কৃতি প্রভাবিত করেছে?,সাহিত্য নতুন অভ্যস্ততাগুলির সঞ্চালন করেছে,Hard
61,বাঙালি সাহিত্যের প্রাচীন যুগের বিশেষ বৈশিষ্ট্য কী?,লৌকিক গাথা ও কাব্যিক রীতি,Hard
62,বাঙালি সাহিত্য’ বিশ্বসাহিত্যের থেকে কোন পথে ভিন্ন?,বাঙালি সাহিত্যে প্রচলিত আঙ্গিক ও শৈলী,Hard
63,বাঙালি সমাজে' প্রাচীন সাহিত্য ও তার প্রভাব কী?,জীবন ও সমাজ চেতনার বিভিন্ন রূপ,Hard
64,রবীন্দ্রনাথ ঠাকুরের' প্রভাব কী?,বাংলাদেশ ও ভারতীয় সংস্কৃতির আধুনিকীকরণ,Hard
65,বাঙালি সাহিত্যের আধুনিক যুগের কোনো প্রধান বৈশিষ্ট্য কী?,নতুন ধরনের সাহিত্যিক মুক্তচিন্তা,Hard
66,বাংলা সাহিত্যে 'সামাজিক প্রতিবাদ' এর ভূমিকা কী?,সামাজিক ও রাজনৈতিক সংস্কারী চিন্তা,Hard
67,বাঙালি সাহিত্যে 'নাটক' এর স্থায়ী প্রভাব কেমন?,নাটক বাঙালি সাহিত্য চর্চায় অসীম ভূমিকা রেখেছে,Hard
68,বাঙালি 'রূপকথা' সাহিত্য,সাধারণ জীবন ও কাল্পনিক ধারণার মিশ্রণ,Hard
69,‘শ্রীমদ্ভগবত গীতা’ বাংলা সাহিত্যে কীভাবে প্রভাবিত করেছে?,ভারতীয় সাহিত্যের গভীর দৃষ্টিকোণ,Hard
70,বাংলা সাহিত্যে বুদ্ধিবৃত্তিক অগ্রগতি কীভাবে ঘটেছে?,নতুন দৃষ্টিভঙ্গি এবং বইয়ের জন্য আন্তর্জাতিক মান,Hard
71,বাংলা সাহিত্য: সমাজের প্রতি সামাজিক পরিবর্তন কী?,বাঙালি সাহিত্য মধ্যস্থ মাধ্যম হিসেবে কাজ করেছে,Hard
72,মহাভারত' এবং ‘রামায়ণ’ বাংলা সাহিত্যে কীভাবে প্রভাব ফেলেছে?,সাধারণ জীবনযাত্রার অমৃত প্রবাহ,Hard
73,বাংলা সাহিত্যের বুদ্ধিবৃত্তিক ও রাজনৈতিক চেতনা কেমন?,উন্নত সমাজ চিন্তা ও স্বাধীনতা অর্জন,Hard
74,বাঙালি সমাজের ভাষা ও সাহিত্য: আধুনিক সময়ের বিশেষত্ব কী?,বিশ্ববাজার ও ইতিহাসে নতুন বিবেচনা,Hard
75,বাঙালি নাটক' এর শৈলী কি?,বৈচিত্র্যপূর্ণ জীবনবোধ,Hard
76,এনসাইক্লোপিডিয়া সাহিত্যের 'বাংলা সংস্করণ' কোথায়?,বিশ্বস্ত জ্ঞান গঠনের বাহন,Hard
