Serial No.,Question,Answer,Difficulty
1,অর্থনীতি কী?,"অর্থনীতি হলো সম্পদ উৎপাদন, বন্টন এবং ভোগের সাথে সম্পর্কিত সামাজিক বিজ্ঞান।",Easy
2,চাহিদা কী?,"একটি নির্দিষ্ট সময়ে ক্রেতারা কোনো পণ্যের বিভিন্ন দামে যে পরিমাণ ক্রয় করতে ইচ্ছুক থাকে, তাকে চাহিদা বলে।",Easy
3,যোগান কী?,"একটি নির্দিষ্ট সময়ে বিক্রেতারা কোনো পণ্যের বিভিন্ন দামে যে পরিমাণ বিক্রয় করতে ইচ্ছুক থাকে, তাকে যোগান বলে।",Easy
4,মুদ্রাস্ফীতি কী?,"যখন পণ্যের দাম ক্রমাগত বাড়তে থাকে এবং টাকার মান কমতে থাকে, সেই অবস্থাকে মুদ্রাস্ফীতি বলে।",Easy
5,বাজার কী?,বাজার এমন একটি প্রক্রিয়া যেখানে ক্রেতা এবং বিক্রেতা মিলিত হয়ে পণ্য বা সেবা বিনিময় করে।,Easy
6,বাজেট কী?,একটি নির্দিষ্ট সময়ের জন্য সরকারের সম্ভাব্য আয় এবং ব্যয়ের বিস্তারিত হিসাবকে বাজেট বলে।,Easy
7,রপ্তানি কী?,দেশের পণ্য বিদেশে বিক্রয় করাকে রপ্তানি বলে।,Easy
8,আমদানি কী?,বিদেশ থেকে পণ্য দেশে কিনে আনাকে আমদানি বলে।,Easy
9,ব্যাংক কী?,ব্যাংক একটি আর্থিক প্রতিষ্ঠান যা জনগণের কাছ থেকে আমানত সংগ্রহ করে এবং ঋণ প্রদান করে।,Easy
10,কেন্দ্রীয় ব্যাংক কী?,"কেন্দ্রীয় ব্যাংক হলো দেশের প্রধান আর্থিক প্রতিষ্ঠান যা মুদ্রা ছাপানো, মুদ্রানীতি নিয়ন্ত্রণ এবং অন্যান্য ব্যাংকগুলোকে পরিচালনা করে।",Easy
11,বাংলাদেশের মুদ্রার নাম কী?,বাংলাদেশের মুদ্রার নাম টাকা।,Easy
12,কর বা ট্যাক্স কী?,"কর হলো সরকারের আয়ের প্রধান উৎস, যা জনগণের আয় বা পণ্যের ওপর আরোপ করা হয়।",Easy
13,জিডিপি (GDP) এর পূর্ণরূপ কী?,জিডিপি-র পূর্ণরূপ হলো মোট দেশজ উৎপাদন (Gross Domestic Product)।,Easy
14,বিনিয়োগ কী?,মুনাফা অর্জনের আশায় কোনো প্রকল্পে বা সম্পদে টাকা খাটানোকে বিনিয়োগ বলে।,Easy
15,সঞ্চয় কী?,"আয়ের যে অংশ ভোগ বা ব্যয় না করে ভবিষ্যতের জন্য রেখে দেওয়া হয়, তাকে সঞ্চয় বলে।",Easy
16,ঋণ কী?,ভবিষ্যতে পরিশোধ করার শর্তে কোনো ব্যক্তি বা প্রতিষ্ঠানের কাছ থেকে অর্থ ধার করাকে ঋণ বলে।,Easy
